objectid,permanent_identifier,fdate,resolution,gnis_id,gnis_name,areasqkm,elevation,reachcode,ftype,fcode
1441,135995141,1117804680000,2,00869254,Pleasant Lake,2.438,245.4,01070003001285,390,39009
25105,135908715,1117457167000,2,00869253,Pleasant Lake,1.938,176.2,01070006002402,390,39009
