OBJECTID,COMID,PERMANENT_IDENTIFIER,GNIS_ID,GNIS_NAME,AREASQKM,REACHCODE,FTYPE_DISPLAY,HU8,WATERBODY_NAME,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,LEVELELEV,GLOBALID
58,,61772655,00878426,Lake Mohawk,0.00135172,02020007001513,Lake/Pond,02020007,Lake Mohawk,878426,Lake Mohawk,Reservoir,,{6C20AA54-21F2-464F-AAE3-E34DE9427FC9}
59,,61772655,00878426,Lake Mohawk,7.034000000000001e-05,02020007001513,Lake/Pond,02020007,Lake Mohawk,878426,Lake Mohawk,Reservoir,,{852072B1-B7F5-45F9-A26A-EF3B1B014987}
9997,,61772655,00878426,Lake Mohawk,3.06908129,02020007001513,Lake/Pond,02020007,Lake Mohawk,878426,Lake Mohawk,Reservoir,,{4E3E1D78-C009-44E9-9641-0A9976001B39}
