OBJECTID,HYPOLY_COD,HYDRO_POLY,AV_LEGEND,NAMEDP_COD,NAMED_POLY,LAKE_NO,LAKE,ACREAGE,Shape__Area,Shape__Length
63657,421,"Reservoir, Lake, or Pond",Water,2,Named Waterbody,110,Bantam Lake,261.33499145,11383755.584960938,14222.555910925052
67831,421,"Reservoir, Lake, or Pond",Water,2,Named Waterbody,110,Bantam Lake,694.10900878,30235394.190551758,37834.06053097226
